"no","X.1","X","Odometer","TimeStamp","ChasisID"
"1",1,1,100,"2010-12-19 05:30:00","MALAN51CMAM0403960K"
"2",2,2,155.5,"2010-12-23 12:32:03","MALAN51CMAM0403960K"
"3",3,3,165.4,"2010-12-26 16:30:15","MALAN51CMAM0403960K"
"4",4,4,177.8,"2011-01-04 07:49:45","MALAN51CMAM0403960K"
"5",5,5,215.4,"2011-01-10 00:41:12","MALAN51CMAM0403960K"
"6",6,6,303.3,"2011-01-16 20:58:19","MALAN51CMAM0403960K"
"7",7,7,337.6,"2011-01-19 08:17:24","MALAN51CMAM0403960K"
"8",8,8,375.2,"2011-01-27 08:46:22","MALAN51CMAM0403960K"
"9",9,9,378.2,"2011-01-29 00:36:48","MALAN51CMAM0403960K"
"10",10,10,386.1,"2011-02-02 17:03:35","MALAN51CMAM0403960K"